          Упражнение        Вес    Подходы Повторения Общий вес за тренировку

           Вер. Тяга  55,000000          3          9          1485,000000
           Гор. Тяга  60,000000          3          7          1260,000000
       Рычажная Тяга  35,000000          3         12          1260,000000
         Тяга Штанги  50,000000          2          6           600,000000
            Жим лежа  36,000000          3          7           756,000000
    Жим под наклоном  55,000000          3          8          1320,000000
     Хаммер на грудь  61,000000          3          3           549,000000
             Бабочка 102,000000          5         10          5100,000000
              Присед 250,000000          5          2          2500,000000
      Разгибание ног  90,000000          3          8          2160,000000
        Сгиабние ног 122,000000          8          6          5856,000000
                Икры 326,000000          3         17         16626,000000
               Пресс  65,000000         15         10          9750,000000
               Плечи   5,000000          4         13           260,000000

Результат сортировки по весу
               Плечи   5,000000          4         13           260,000000
       Рычажная Тяга  35,000000          3         12          1260,000000
            Жим лежа  36,000000          3          7           756,000000
         Тяга Штанги  50,000000          2          6           600,000000
    Жим под наклоном  55,000000          3          8          1320,000000
           Вер. Тяга  55,000000          3          9          1485,000000
           Гор. Тяга  60,000000          3          7          1260,000000
     Хаммер на грудь  61,000000          3          3           549,000000
               Пресс  65,000000         15         10          9750,000000
      Разгибание ног  90,000000          3          8          2160,000000
             Бабочка 102,000000          5         10          5100,000000
        Сгиабние ног 122,000000          8          6          5856,000000
              Присед 250,000000          5          2          2500,000000
                Икры 326,000000          3         17         16626,000000

Результат сортировки упражнений в Алфавитном порядке
             Бабочка 102,000000          5         10          5100,000000
           Вер. Тяга  55,000000          3          9          1485,000000
           Гор. Тяга  60,000000          3          7          1260,000000
            Жим лежа  36,000000          3          7           756,000000
    Жим под наклоном  55,000000          3          8          1320,000000
                Икры 326,000000          3         17         16626,000000
               Плечи   5,000000          4         13           260,000000
               Пресс  65,000000         15         10          9750,000000
              Присед 250,000000          5          2          2500,000000
      Разгибание ног  90,000000          3          8          2160,000000
       Рычажная Тяга  35,000000          3         12          1260,000000
        Сгиабние ног 122,000000          8          6          5856,000000
         Тяга Штанги  50,000000          2          6           600,000000
     Хаммер на грудь  61,000000          3          3           549,000000

